ra,dec,psfMag_r,psfMag_g
0.0153030018142033,0.497910122673647,20.83795,22.43304
0.0155254460067056,0.476369931445661,23.81754,25.23864
0.0156044243202587,0.367336744895203,21.90833,23.72946
0.0156877062330523,0.41376021951875,21.6733,22.32353
0.0157825575495281,0.246324002889212,22.40364,22.87551
0.0160881708884801,0.456074885097821,22.57446,23.9067
0.0162308386980783,0.433071551298386,21.10841,20.97273
0.0170396790074623,0.186422181541019,24.0673,25.22332
0.0170465349384585,0.410386215894388,24.3411,24.95228
0.0907124988819987,0.235047217214353,21.91853,21.84363
0.0908250720153205,0.356766349669291,25.25565,23.20308
0.0909356420976106,0.0424066478404247,22.91946,23.81072
0.0912086673873773,0.335130324557787,24.45129,24.81161
0.0915902433197857,0.301960522476843,22.8595,22.84714
0.0917288622262618,0.421760339463304,22.97451,23.29373
0.0922300842380821,0.427588227472868,22.79524,23.83268
0.0927647008893757,0.491188356261825,19.49817,20.5298
0.0928139586767713,0.446496583098069,22.7608,23.99814
0.171163236895666,0.230432928818163,23.60253,25.11429
0.171843020947991,0.195523492757906,23.19336,23.15455
0.17206573855966,0.00974013212218697,16.65547,17.47074
0.172122820684544,0.114249099923744,21.01058,22.35144
0.172336361608103,0.210109864582773,23.05655,23.3095
0.172440656111235,0.439643360571363,19.48533,20.16471
0.172455716395907,0.0584383042142084,21.57712,22.86198
0.172701227663424,0.359612483551678,22.55161,23.03532
0.172906636797791,0.237109703322975,22.15121,23.47486
0.250876535505041,0.156368689248018,23.52624,25.10805
0.250909136858638,0.0195533912132805,17.14781,14.87967
0.251013350632036,0.384354907336829,19.39415,20.74425
0.251135614413442,0.459311175379692,19.58573,20.02741
0.251867561157155,0.265113984158436,19.46329,20.96048
0.251983253979134,0.154074754624575,23.41734,24.69692
0.252043293797726,0.353543572390458,19.47698,19.72243
0.252045550910022,0.197718174158522,25.48739,24.71803
0.252139807028726,0.443383365198439,24.69524,24.36007
0.252371168514221,0.00540529514545384,15.41853,16.10626
0.252504508713759,0.0761422379729377,23.78248,24.36289
0.252713137243234,0.368590083091088,20.58309,20.97647
0.252882758536202,0.415494938680404,24.33554,23.28962
0.331226598307808,0.416586873484253,19.18008,19.87703
0.331269187735376,0.177215365576051,20.23916,20.24542
0.331548683032679,0.389081082721913,19.24762,20.6803
0.33157241428135,0.19761403551524,24.53023,25.15561
0.332057636499485,0.275829288124073,22.08274,24.106
0.332527372434729,0.115174192101221,23.94321,23.78605
0.332786194697634,0.167320753481662,24.23642,23.94677
0.413962867778537,0.365382648907208,23.07823,23.86906
0.414269620880475,0.235681781499505,22.72715,24.00655
0.414664384337414,0.218847272119198,21.24088,22.78778
0.41471303583296,0.325248038622568,20.65848,21.11843
0.414772722241423,0.257167631651431,22.86807,25.27532
0.41480101392392,0.287638026114613,22.84449,23.3966
0.41491318896442,0.322967155248241,23.64484,24.39278
0.414914302246302,0.293834163532759,22.6795,25.72576
0.415031803998923,0.0125735132569879,24.50849,23.52733
0.415147720852076,0.415319892792356,22.83557,23.8153
0.415283794495076,0.18590991694345,22.84317,23.61562
0.415375508354714,0.362424557411893,22.62682,23.20255
0.415517274607794,0.298883684384037,20.22398,21.76275
0.415992590244997,0.436087836295944,24.84472,23.27287
0.416185750842487,0.406094837264989,25.06379,24.57048
0.416309837157627,0.495476372527132,24.3502,25.2048
0.416337461006378,0.226888978681119,21.60062,22.8288
0.0076918657073648,0.199897760802676,22.9012,24.62845
0.00790511831849017,0.36083082411006,22.96947,23.5786
0.00797491238748194,0.423558221472487,17.19385,14.15011
0.00808696383853658,0.386626288366087,23.60239,24.45242
0.00833583820184458,0.232878561200849,17.86087,19.07634
0.00870757248978293,0.459690399785539,25.33595,25.25334
0.00936967378322606,0.490031718899203,24.69688,24.84522
0.00952511588704397,0.455698531972148,23.00475,25.14484
0.00974877027510956,0.284128837251879,19.94331,21.38085
0.0956812661461584,0.45896683159253,22.07943,23.70183
0.0959777479902186,0.29662747462499,22.78835,25.41141
0.0963904537599092,0.293866195579554,22.90295,25.43086
0.0964127054689925,0.22119591072813,22.59991,25.87806
0.0966811041155253,0.0125107859300924,24.19698,23.35916
0.0967844110475085,0.375987615209378,21.37943,22.70464
0.0969268202567832,0.223399254104503,24.66785,23.31513
0.0970785301144179,0.116521796120437,19.90663,21.26814
0.0972039069062021,0.232265490514013,14.78197,15.90644
0.0977761272129101,0.380056251878842,19.07938,20.56145
0.0979838417472259,0.0798613942869821,21.53218,22.13552
0.0980055776275321,0.254042488765671,15.84211,16.40075
0.17621034119146,0.0929531208314957,22.70524,24.63948
0.176371831064444,0.351727286785753,22.38301,23.30431
0.176570505328401,0.0184434493192234,25.24098,25.09483
0.176672522626859,0.324654346207693,22.71822,23.12987
0.176960711267014,0.433980847062605,21.30678,22.95282
0.177036494352478,0.3304133202084,20.06383,20.47979
0.177054623205834,0.472429028582486,22.1966,24.95218
0.177373849597529,0.332983290401205,19.12025,19.84258
0.177439996253611,0.258924075987865,21.80403,22.73139
0.177526193718453,0.0489420767047319,18.99132,20.36791
0.17752975320718,0.16304014453973,21.88822,22.55952
0.178023552550655,0.327534658180705,17.22572,18.45451
0.178205368014119,0.334285414656096,22.39373,24.59053
0.258828503232152,0.124085789842922,21.89381,22.44494
0.258900422338286,0.401498955362519,19.75238,21.1455
0.258909987550055,0.30628398948912,22.62868,24.20859
0.259020141165982,0.175959182056933,19.27049,20.25237
0.259048128032305,0.473623173283188,23.23356,23.93819
0.259124622057584,0.419030263984633,22.79836,23.59715
0.259241440985345,0.0121482878090765,21.11555,21.41814
0.259243101035189,0.195947942474386,24.07693,25.11912
0.260025235643127,0.299055202808844,23.68106,24.79752
0.260291414457303,0.132547869676482,24.43708,24.46688
0.26083157076004,0.124369169867983,21.50027,22.94965
0.260919686663499,0.446785556827108,15.99945,16.77699
0.260958337515973,0.429040819467055,19.62518,21.09885
0.261055917724065,0.439434735094504,24.26967,23.2846
0.337786799749495,0.287555877555005,19.6437,21.22997
0.338163135189177,0.224525801663909,23.11502,25.32643
0.33817602238878,0.336840467477371,22.7252,25.66796
0.338314893373044,0.202064683519799,25.20787,24.77164
0.338470169045195,0.239366182224682,22.81592,25.29548
0.338709741748744,0.387511701505086,23.03859,23.82585
0.338914262127439,0.0125200511104665,25.16863,23.43778
0.33900044944852,0.479619425308049,25.12084,25.09217
0.339061918345399,0.0557661370055379,23.4037,23.44969
0.339279467494833,0.472030737464353,22.557,23.11799
0.339377651690484,0.342270425399316,23.23519,25.19297
0.339462917128571,0.392263159708341,19.84166,21.37889
0.339800457868222,0.498484215003797,14.57802,15.11811
0.339877074919823,0.0112929140456412,22.94635,25.10605
0.339902587351345,0.0927697534085009,21.97632,23.96099
0.339920048341364,0.0824819653812482,23.04557,25.05364
0.340184167384166,0.209367681007038,25.98079,23.29322
0.42174454317302,0.346320025490513,25.359,24.95382
0.421798320352428,0.0866862619043409,21.07592,21.69212
0.421861138071977,0.127652102480033,22.80893,23.68162
0.422270558688645,0.168166954441799,22.59575,23.385
0.42232575278598,0.431211714110484,21.59539,22.40766
0.422327077371069,0.0231628010190262,21.73157,23.05069
0.422329185989724,0.41053169851267,25.11672,24.65908
0.422635786547346,0.39897761194766,19.21954,19.47547
0.423119057973395,0.341200486172849,14.27598,14.85479
0.423211973203621,0.43686105398311,22.15622,22.61384
0.423400800912226,0.122242599666636,24.64962,25.09518
0.423805404354466,0.0124990592445397,23.92323,23.46568
0.0494273314845373,0.307908097603953,22.83083,24.36952
0.0494629927853225,0.395420696995644,23.04377,23.97527
0.0497810319767495,0.243777591662997,23.40409,23.12397
0.0498392208851932,0.0403505280208349,17.85312,17.77682
0.0500601544324581,0.405383736933861,23.27648,25.09859
0.0507217494404326,0.207218921017395,23.71403,25.03397
0.0507918874628217,0.236597585813315,23.08548,24.54745
0.0508151007250603,0.254386813498188,17.91428,19.38609
